OBJECTID,ZIP_CODE,AdminOffice
1225,00050,JH
1226,00054,JH
1227,00055,JH
1228,94901,JH
1229,94903,JH
1230,94904,JH
1231,94922,JH
1232,94923,JH
1233,94924,JH
1234,94928,JH
1235,94929,JH
1236,94930,JH
1237,94931,JH
1238,94933,JH
1239,94937,JH
1240,94938,JH
1241,94940,JH
1242,94945,JH
1243,94946,JH
1244,94947,JH
1245,94949,JH
1246,94951,JH
1247,94952,JH
1248,94954,JH
1249,94956,JH
1250,94957,JH
1251,94960,JH
1252,94963,JH
1253,94970,JH
1254,94971,JH
1255,94972,JH
1256,94973,JH
1257,95401,JH
1258,95403,JH
1259,95404,JH
1260,95405,JH
1261,95407,JH
1262,95409,JH
1263,95410,JH
1264,95412,JH
1265,95415,JH
1266,95417,JH
1267,95419,JH
1268,95420,JH
1269,95421,JH
1270,95422,JH
1271,95423,JH
1272,95425,JH
1273,95426,JH
1274,95427,JH
1275,95428,JH
1276,95429,JH
1277,95432,JH
1278,95436,JH
1279,95437,JH
1280,95439,JH
1281,95441,JH
1282,95442,JH
1283,95443,JH
1284,95444,JH
1285,95445,JH
1286,95446,JH
1287,95448,JH
1288,95449,JH
1289,95450,JH
1290,95451,JH
1291,95452,JH
1292,95453,JH
1293,95454,JH
1294,95456,JH
1295,95457,JH
1296,95458,JH
1297,95459,JH
1298,95460,JH
1299,95461,JH
1300,95462,JH
1301,95463,JH
1302,95464,JH
1303,95465,JH
1304,95466,JH
1305,95467,JH
1306,95468,JH
1307,95469,JH
1308,95470,JH
1309,95471,JH
1310,95472,JH
1311,95476,JH
1312,95482,JH
1313,95485,JH
1314,95488,JH
1315,95490,JH
1316,95492,JH
1317,95493,JH
1318,95494,JH
1319,95497,JH
1320,95501,JH
1321,95503,JH
1322,95511,JH
1323,95514,JH
1324,95519,JH
1325,95521,JH
1326,95524,JH
1327,95525,JH
1328,95526,JH
1329,95527,JH
1330,95528,JH
1331,95531,JH
1332,95536,JH
1333,95540,JH
1334,95542,JH
1335,95543,JH
1336,95546,JH
1337,95547,JH
1338,95548,JH
1339,95549,JH
1340,95550,JH
1341,95551,JH
1342,95552,JH
1343,95553,JH
1344,95554,JH
1345,95555,JH
1346,95556,JH
1347,95558,JH
1348,95560,JH
1349,95562,JH
1350,95563,JH
1351,95564,JH
1352,95565,JH
1353,95567,JH
1354,95568,JH
1355,95569,JH
1356,95570,JH
1357,95571,JH
1358,95573,JH
1359,95585,JH
1360,95587,JH
1361,95589,JH
1362,95595,JH
1363,96010,JH
1364,96027,JH
1365,96031,JH
1366,96032,JH
1367,96039,JH
1368,96041,JH
1369,96046,JH
1370,96048,JH
1371,96050,JH
1372,96085,JH
